Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Season Year
96,Kris Dunn,PG,30,LAC,2,39,17.5,.800,.700,.000,8.7,21.3,14.9,11.7,2.5,0.0,16.7,13.2,,0.1,0.1,0.2,.207,,0.7,3.0,3.8,0.1,2025
97,Ryan Dunn,SF,22,PHO,3,43,14.2,.667,.722,.000,2.9,12.6,8.1,12.3,0.0,2.1,5.3,20.0,,0.1,0.0,0.1,.122,,0.6,-1.5,-0.9,0.0,2025
98,Kevin Durant,SF,36,PHO,3,122,19.4,.652,.291,.455,0.0,17.7,9.5,12.1,1.6,2.2,14.3,28.6,,0.1,0.2,0.3,.111,,1.5,-1.2,0.3,0.1,2025
99,Jalen Duren,C,21,DET,3,88,20.6,.814,.000,.800,13.8,25.9,19.9,18.4,0.6,3.5,19.8,12.3,,0.3,0.0,0.4,.196,,1.8,1.5,3.3,0.1,2025
100,Tari Eason,SF,23,HOU,3,47,24.3,.656,.438,.000,5.9,13.8,9.5,13.4,7.1,3.6,5.9,14.3,,0.1,0.1,0.3,.285,,2.0,6.9,8.9,0.1,2025
101,Zach Edey,C,22,MEM,3,51,14.5,.581,.056,.444,16.4,13.9,15.1,2.9,0.9,1.8,4.4,17.7,,0.1,0.0,0.1,.117,,-3.4,-3.8,-7.1,-0.1,2025
102,Anthony Edwards,SG,23,MIN,3,119,14.5,.548,.571,.186,1.0,16.3,8.8,16.7,0.8,0.7,12.7,31.7,,0.0,0.1,0.1,.041,,-0.5,-1.9,-2.5,0.0,2025
103,Keon Ellis,SG,25,SAC,1,11,12.4,.532,.000,2.000,0.0,10.9,5.6,0.0,8.4,0.0,0.0,7.5,,0.0,0.0,0.0,.110,,-4.8,7.0,2.2,0.0,2025
104,Drew Eubanks,C,27,UTA,1,6,44.5,1.064,1.000,2.000,33.0,0.0,16.4,60.4,0.0,0.0,0.0,12.2,,0.1,0.0,0.1,.539,,26.4,3.6,30.0,0.0,2025
105,Bruno Fernando,C,26,TOR,3,35,12.5,.509,.000,.333,27.0,27.2,27.1,9.0,1.4,8.2,30.4,22.8,,-0.1,0.0,0.0,-0.031,,-8.1,-2.4,-10.5,-0.1,2025
106,Kyle Filipowski,C,21,UTA,1,4,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.062,,-8.2,-4.8,-13.0,0.0,2025
107,Dorian Finney-Smith,PF,31,BRK,2,56,14.8,.575,.650,.000,11.8,17.8,14.6,2.9,1.7,3.5,9.1,16.2,,0.1,0.0,0.1,.086,,0.4,-2.2,-1.8,0.0,2025
108,Adam Flagler,SG,25,OKC,2,4,36.5,1.500,1.000,.000,0.0,0.0,0.0,0.0,11.2,0.0,0.0,9.8,,0.0,0.0,0.0,.543,,6.0,14.1,20.1,0.0,2025
109,Simone Fontecchio,SF,29,DET,3,53,3.4,.508,.786,.286,2.3,9.1,5.7,0.0,0.0,0.0,11.3,14.3,,0.0,0.0,0.0,-0.036,,-5.2,-3.4,-8.6,-0.1,2025
110,De'Aaron Fox,PG,27,SAC,2,78,16.3,.560,.412,.294,0.0,10.8,5.5,40.0,1.8,0.0,17.2,26.0,,0.1,0.0,0.1,.041,,-0.6,-3.1,-3.7,0.0,2025
111,Enrique Freeman,PF,24,IND,2,16,9.3,1.064,.000,2.000,8.1,0.0,3.9,0.0,0.0,5.4,34.7,8.0,,0.0,0.0,0.0,.059,,-4.2,-3.5,-7.7,0.0,2025
112,Johnny Furphy,SG,20,IND,1,5,-22.9,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,,-0.1,0.0,-0.1,-0.701,,-21.4,-14.6,-36.0,0.0,2025
113,Daniel Gafford,PF,26,DAL,2,37,20.3,.512,.000,.462,19.0,18.1,18.6,24.5,1.3,2.9,11.3,19.7,,0.1,0.0,0.1,.182,,-0.5,-0.5,-1.1,0.0,2025
114,Darius Garland,PG,25,CLE,3,80,14.4,.624,.529,.029,0.0,6.5,3.6,28.0,1.8,0.0,20.7,23.2,,0.1,0.1,0.2,.109,,-1.4,-3.1,-4.5,-0.1,2025
115,Keyonte George,SG,21,UTA,2,61,2.8,.349,.467,.333,1.6,4.8,3.2,27.1,1.5,0.0,14.9,25.7,,-0.2,0.0,-0.3,-0.214,,-6.6,-5.8,-12.4,-0.2,2025
116,Kyshawn George,SG,21,WAS,2,47,1.5,.203,.615,.308,4.0,12.6,7.8,16.6,1.0,8.7,11.9,14.1,,-0.2,0.0,-0.2,-0.166,,-10.0,-0.7,-10.7,-0.1,2025
117,Josh Giddey,SG,22,CHI,3,81,14.8,.565,.257,.314,3.6,17.9,10.8,31.7,0.0,0.0,16.7,23.5,,0.1,0.1,0.1,.081,,1.0,-2.5,-1.5,0.0,2025
118,Shai Gilgeous-Alexander,SG,26,OKC,2,66,26.5,.526,.333,.178,5.2,14.7,9.9,24.7,4.1,4.4,5.8,30.7,,0.1,0.3,0.4,.278,,5.4,6.1,11.4,0.2,2025
119,Anthony Gill,PF,32,WAS,1,3,21.2,.500,.000,.000,0.0,0.0,0.0,69.6,15.5,0.0,33.3,39.5,,0.0,0.0,0.0,-0.169,,-3.3,11.2,8.0,0.0,2025
120,Collin Gillespie,PG,25,PHO,1,3,27.1,.750,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,.142,,11.0,-1.8,9.2,0.0,2025
121,Rudy Gobert,C,32,MIN,3,109,14.4,.692,.000,.556,6.3,30.6,18.8,5.3,1.3,3.7,18.2,10.9,,0.1,0.2,0.4,.160,,-2.4,1.7,-0.6,0.0,2025
122,Aaron Gordon,PF,29,DEN,2,68,10.6,.446,.227,.273,10.3,10.9,10.6,9.6,1.5,0.0,7.5,16.5,,0.0,0.1,0.1,.047,,-2.1,-4.3,-6.4,-0.1,2025
123,Eric Gordon,SG,36,PHI,2,43,3.6,.382,.400,.700,0.0,5.9,2.5,10.2,0.0,0.0,0.0,12.4,,0.0,0.0,0.0,-0.044,,-5.0,-4.3,-9.2,-0.1,2025
124,Jazian Gortman,PG,21,DAL,1,1,-50.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41.4,,0.0,0.0,0.0,-1.388,,-37.1,-21.9,-59.0,0.0,2025
